jornada;nombre jugador;posicion;minutos jugados;goles anotados;goles recibidos;asistencias;penalti fallado;penalti atajado;tarjetas amarillas;tarjetas rojas;autogoles
1;kalidou koulibaly;defensa;90;1;2;0;0;0;0;0;0
1;thiago silva;defensa;90;0;2;0;0;0;0;0;0
1;reece james;defensa;90;1;2;0;0;0;1;0;0
1;marc cucurella;defensa;90;0;2;1;0;0;0;0;0
1;mason mount;mediocentro;90;0;2;0;0;0;0;0;0
1;jorginho;mediocentro;72;0;2;0;0;0;0;0;0
1;ngolo kante;mediocentro;83;0;2;0;0;0;0;0;0
1;hakim ziyech;mediocentro;90;0;2;0;0;0;0;0;0
1;raheem sterling;delantero;84;0;2;1;0;0;0;0;0
1;kai havertz;delantero;89;0;2;0;0;0;1;0;0
1;christian pulisic;mediocentro;6;0;2;0;0;0;0;0;0
1;connor gallagher;mediocentro;7;0;2;0;0;0;0;0;0
1;cesar azpilicueta;defensa;18;0;2;0;0;0;0;0;0
1;hugo lloris;portero;90;0;2;0;0;0;0;0;0
1;ben davies;defensa;90;0;2;1;0;0;0;0;0
1;eric dier;defensa;90;0;2;0;0;0;0;0;0
1;cristian romero;defensa;90;0;2;0;0;0;0;0;0
1;ryan sessegnon;defensa;56;0;2;0;0;0;0;0;0
1;rodrigo betancur;mediocentro;78;0;2;0;0;0;0;0;0
1;pierre emile hojberg;mediocentro;90;1;2;0;0;0;0;0;0
1;emerson royal;defensa;81;0;2;0;0;0;0;0;0
1;heung min son;mediocentro;78;0;2;0;0;0;0;0;0
1;dejan kulusevski;mediocentro;90;0;2;0;0;0;0;0;0
1;harry kane;delantero;90;1;2;0;0;0;0;0;0
1;lucas moura;mediocentro;9;0;2;0;0;0;0;0;0
1;ivan perisic;defensa;12;0;2;1;0;0;0;0;0
1;yves bissouma;mediocentro;12;0;2;0;0;0;0;0;0
1;richarlison;delantero;34;0;2;0;0;0;0;0;0
1;david de gea;portero;90;0;1;0;0;0;0;0;0
1;tyrell malacia;defensa;90;0;1;0;0;0;0;0;0
1;lisandro martinez;defensa;79;0;1;0;0;0;0;0;0
1;raphael varane;defensa;90;0;1;0;0;0;0;0;0
1;diogo dalot;defensa;90;0;1;0;0;0;0;0;0
1;christian eriksen;mediocentro;90;0;1;1;0;0;1;0;0
1;scott mctominay;mediocentro;90;0;1;0;0;0;1;0;0
1;jadon sancho;mediocentro;66;0;1;0;0;0;0;0;0
1;bruno fernandes;mediocentro;90;0;1;0;0;0;0;0;0
1;antony dos santos;mediocentro;57;1;1;0;0;0;0;0;0
1;marcus rashford;mediocentro;79;2;1;1;0;0;0;0;0
1;casemiro;mediocentro;16;0;1;0;0;0;0;0;0
1;fred;mediocentro;29;0;1;0;0;0;0;0;0
1;cristiano ronaldo;delantero;38;0;1;0;0;0;0;0;0
1;aaron ramsdale;portero;90;0;3;0;0;0;0;0;0
1;oleksandr zinchenko;defensa;73;0;3;0;0;0;0;0;0
1;gabriel magalhaes;defensa;90;0;3;0;0;0;0;0;0
1;william saliba;defensa;90;0;3;0;0;0;1;0;0
1;benjamin white;defensa;79;0;3;0;0;0;0;0;0
1;granit xhaka;mediocentro;90;0;3;0;0;0;0;0;0
1;fabio vieira;mediocentro;90;0;3;0;0;0;0;0;0
1;gabriel martinelli;mediocentro;90;0;3;0;0;0;0;0;0
1;martin odegaard;mediocentro;72;0;3;0;0;0;0;0;0
1;bukayo saka;mediocentro;90;1;3;0;0;0;0;0;0
1;gabriel jesus;delantero;90;0;3;0;0;0;1;0;0
1;takehiro tomiyasu;defensa;16;0;3;0;0;0;0;0;0
1;eddie nketiah;delantero;22;0;3;0;0;0;0;0;0
1;emile smith rowe;mediocentro;23;0;3;0;0;0;0;0;0
1;thomas partey;mediocentro;0;0;0;0;0;0;0;0;0
1;kieran tierney;defensa;0;0;0;0;0;0;0;0;0
1;eddie nketiah;delantero;0;0;0;0;0;0;0;0;0
1;takehiro tomiyasu;defensa;0;0;0;0;0;0;0;0;0
1;ben chilwell;defensa;0;0;0;0;0;0;0;0;0
1;pierre-emerick aubameyang;delantero;0;0;0;0;0;0;0;0;0
1;mateo kovacic;mediocentro;0;0;0;0;0;0;0;0;0
1;kepa arrizabalaga;portero;0;0;0;0;0;0;0;0;0
1;trevoh chalobah;defensa;0;0;0;0;0;0;0;0;0
1;wesley fofana;defensa;0;0;0;0;0;0;0;0;0
1;luis diaz;mediocentro;0;0;0;0;0;0;0;0;0
1;joel matip;defensa;0;0;0;0;0;0;0;0;0
1;ibrahima konate;defensa;0;0;0;0;0;0;0;0;0
1;adrian del castillo;portero;0;0;0;0;0;0;0;0;0
1;kyle walker;defensa;0;0;0;0;0;0;0;0;0
1;john stones;defensa;0;0;0;0;0;0;0;0;0
1;riyad mahrez;mediocentro;0;0;0;0;0;0;0;0;0
1;jack grealish;mediocentro;0;0;0;0;0;0;0;0;0
1;sergio gomez;defensa;0;0;0;0;0;0;0;0;0
1;aymeric laporte;defensa;0;0;0;0;0;0;0;0;0
1;kalvin phillips;mediocentro;0;0;0;0;0;0;0;0;0
1;anthony martial;delantero;0;0;0;0;0;0;0;0;0
1;anthony elanga;mediocentro;0;0;0;0;0;0;0;0;0
1;donny van de beek;mediocentro;0;0;0;0;0;0;0;0;0
1;victor lindelof;defensa;0;0;0;0;0;0;0;0;0
1;alejandro garnacho;mediocentro;0;0;0;0;0;0;0;0;0
1;luke shaw;defensa;0;0;0;0;0;0;0;0;0
1;aaron wan bissaka;defensa;0;0;0;0;0;0;0;0;0
1;davinson sanchez;defensa;0;0;0;0;0;0;0;0;0
1;matt doherty;defensa;0;0;0;0;0;0;0;0;0
1;clement lenglet;defensa;0;0;0;0;0;0;0;0;0
1;liver skipp;mediocentro;0;0;0;0;0;0;0;0;0
1;djed spence;defensa;0;0;0;0;0;0;0;0;0
1;japhet tanganga;defensa;0;0;0;0;0;0;0;0;0
